0-HSD-multi, h:0.5388618729880148, c:0.6694836898961143, v:0.5971126905307987, s:0.23417999098449047, a:0.7135416666666666, M:0.6135302892112484, m:0.7135416666666666
0-HSD-single, h:0.4307149716167873, c:0.7032983186150982, v:0.5342461467598748, s:0.07369550828470361, a:0.7916666666666666, M:0.7150162709818647, m:0.7916666666666666
0-graphwave, h:0.32359399643771625, c:0.7070539601830407, v:0.4439894635272323, s:0.15636348655503177, a:0.8072916666666666, M:0.7640818100028627, m:0.8072916666666666
0-struc2vec, h:0.5114673310564353, c:0.6094413140075596, v:0.5561725724636146, s:0.42306771874427795, a:0.65625, M:0.6115904578856763, m:0.65625
0-node2vec, h:0.14205514474819786, c:0.20609168164934968, v:0.16818411916050205, s:0.06608664244413376, a:0.3333333333333333, M:0.15444813498521937, m:0.3333333333333333
1-HSD-multi, h:0.5200839189702889, c:0.6745011946012398, v:0.5873122319255312, s:0.18382708425756034, a:0.8125, M:0.7426155531634977, m:0.8125
1-HSD-single, h:0.5637316000751164, c:0.6463876743370894, v:0.602236763974983, s:0.2975008931855235, a:0.8489583333333334, M:0.8185238173890426, m:0.8489583333333334
1-graphwave, h:0.18067208708430826, c:0.6300602439901055, v:0.28081845242235065, s:0.15584211499418818, a:0.8541666666666666, M:0.8208268696444275, m:0.8541666666666666
1-struc2vec, h:0.48519164975326823, c:0.5737477877257526, v:0.5257668678988281, s:0.37591472268104553, a:0.6770833333333334, M:0.6170472298252127, m:0.6770833333333334
1-node2vec, h:0.11685336999411727, c:0.2031868254928988, v:0.14837552052560904, s:0.011023469269275665, a:0.2864583333333333, M:0.12421471675792502, m:0.2864583333333333
2-HSD-multi, h:0.40072879522634747, c:0.5820151074375384, v:0.47465105033929966, s:0.20715536608652307, a:0.7760416666666666, M:0.6780253228929245, m:0.7760416666666666
2-HSD-single, h:0.5084284737774423, c:0.6583406287079958, v:0.5737538307565281, s:0.1628191712370508, a:0.84375, M:0.7871160330500746, m:0.84375
2-graphwave, h:0.41806191744557003, c:0.7549562151446513, v:0.538130543973578, s:0.12876222810551066, a:0.8177083333333334, M:0.7570161078840036, m:0.8177083333333333
2-struc2vec, h:0.46581644295321945, c:0.5522011854043176, v:0.5053436891748027, s:0.4023820459842682, a:0.59375, M:0.5100442268893708, m:0.59375
2-node2vec, h:0.20472516112280487, c:0.3577203769902684, v:0.26041405559704256, s:0.14278876781463623, a:0.2708333333333333, M:0.13840281732963913, m:0.2708333333333333
3-HSD-multi, h:0.5451954567323334, c:0.670302779051702, v:0.6013106708267998, s:0.30670575781915366, a:0.8020833333333334, M:0.7252795244761225, m:0.8020833333333334
3-HSD-single, h:0.5339999326972916, c:0.6713767323792585, v:0.5948599144024136, s:0.18322925379843305, a:0.8541666666666666, M:0.7828981508169711, m:0.8541666666666666
3-graphwave, h:0.36728500533656694, c:0.7183645632323443, v:0.4860583747814473, s:0.2390691240328955, a:0.7916666666666666, M:0.7318171420083184, m:0.7916666666666666
3-struc2vec, h:0.46682982567782494, c:0.58232714005722, v:0.5182211740641124, s:0.5069258809089661, a:0.6510416666666666, M:0.5750154332641165, m:0.6510416666666666
3-node2vec, h:0.1765645447606952, c:0.24052110172303615, v:0.2036392246489125, s:0.13248462975025177, a:0.203125, M:0.09521595785639698, m:0.203125
4-HSD-multi, h:0.5146864672597747, c:0.5928479112081927, v:0.5510091658990546, s:0.1845123176620315, a:0.7708333333333334, M:0.6754957886925016, m:0.7708333333333333
4-HSD-single, h:0.44596410000473363, c:0.6223684505713157, v:0.5196022264429163, s:0.2892679046812965, a:0.7864583333333334, M:0.7441090553406455, m:0.7864583333333334
4-graphwave, h:0.19005918494093793, c:0.6802541314376743, v:0.29710804911436206, s:0.24302912096245408, a:0.796875, M:0.7750138968547592, m:0.796875
4-struc2vec, h:0.47200067857622724, c:0.5625629785046453, v:0.5133180655993205, s:0.5035834908485413, a:0.6197916666666666, M:0.549814232329936, m:0.6197916666666666
4-node2vec, h:0.18993848050519155, c:0.284512969129356, v:0.22779975098432234, s:0.1610243171453476, a:0.21354166666666666, M:0.09825517619635267, m:0.21354166666666666
5-HSD-multi, h:0.403073065605131, c:0.6271719300492687, v:0.49074950826792874, s:0.03379594766485572, a:0.6979166666666666, M:0.6006156480702071, m:0.6979166666666666
5-HSD-single, h:0.4703880188690348, c:0.6772962033349359, v:0.5551910762743205, s:0.1356054358408875, a:0.796875, M:0.7442403753644258, m:0.796875
5-graphwave, h:0.1659651906505191, c:0.6605573226941813, v:0.2652789735947952, s:0.08393061350734764, a:0.7916666666666666, M:0.6850548748621985, m:0.7916666666666666
5-struc2vec, h:0.5206040881583969, c:0.6308241961328762, v:0.5704387496754127, s:0.43038198351860046, a:0.6510416666666666, M:0.5965010992955534, m:0.6510416666666666
5-node2vec, h:0.151164958483661, c:0.2455261386841516, v:0.18712266963300464, s:0.07466009259223938, a:0.3489583333333333, M:0.1485810571772042, m:0.3489583333333333
6-HSD-multi, h:0.5159208598960409, c:0.6628953024373117, v:0.5802457166477002, s:0.20710393602972021, a:0.78125, M:0.6293042351496965, m:0.78125
6-HSD-single, h:0.5287342719555687, c:0.6938641585989654, v:0.6001476062201161, s:0.280715582218345, a:0.828125, M:0.7297980961690639, m:0.828125
6-graphwave, h:0.37144738526211757, c:0.7341601093537337, v:0.4933068097154068, s:0.2522343901725212, a:0.765625, M:0.7008063386123337, m:0.765625
6-struc2vec, h:0.5068075222336155, c:0.6012762321843358, v:0.5500149536464869, s:0.4993945062160492, a:0.625, M:0.559143408111259, m:0.625
6-node2vec, h:0.16004082761169444, c:0.2387690137426129, v:0.19163414040952476, s:0.09770199656486511, a:0.22916666666666666, M:0.12625379516444388, m:0.22916666666666666
7-HSD-multi, h:0.4578747959724814, c:0.6304098754971402, v:0.5304656046151944, s:0.12558936623638595, a:0.7291666666666666, M:0.6315943988616238, m:0.7291666666666665
7-HSD-single, h:0.5017974556337865, c:0.6645180215647364, v:0.5718066148705048, s:0.14703248565148916, a:0.828125, M:0.7467242497782796, m:0.828125
7-graphwave, h:0.32332773259173014, c:0.6894193753465497, v:0.4402054603530729, s:0.18843349029747605, a:0.8177083333333334, M:0.7366269178060726, m:0.8177083333333333
7-struc2vec, h:0.46112376415842027, c:0.5675500533781693, v:0.5088314925498624, s:0.3887392580509186, a:0.625, M:0.5282678714760758, m:0.625
7-node2vec, h:0.18157799202419403, c:0.33152861965900865, v:0.2346424687795782, s:0.10325509309768677, a:0.3177083333333333, M:0.146704373387472, m:0.3177083333333333
8-HSD-multi, h:0.43597765010280287, c:0.6267585247192612, v:0.5142437328526136, s:0.1101822273057043, a:0.734375, M:0.5732993729236558, m:0.734375
8-HSD-single, h:0.5001263903042131, c:0.6621690665761014, v:0.5698520510898242, s:0.15706036455982764, a:0.7708333333333334, M:0.6539641262174469, m:0.7708333333333333
