0-node2vec: h:0.23698425154744276, c:0.2690368034355606, v:0.251995385856165, s:0.1809908151626587, a:0.3333333333333333, M:0.1310332847386482, m:0.3333333333333333

1-node2vec: h:0.24879209028046542, c:0.2794656223028092, v:0.2632383197747877, s:0.20847006142139435, a:0.25, M:0.10608968981062006, m:0.25

2-node2vec: h:0.21453310210160467, c:0.2722957822362212, v:0.23998764548153856, s:0.14665630459785461, a:0.3229166666666667, M:0.12237780844820915, m:0.3229166666666667

3-node2vec: h:0.22130225739770784, c:0.2736134687635484, v:0.24469328853802205, s:0.15709416568279266, a:0.375, M:0.14101968326029615, m:0.375

4-node2vec: h:0.19528827097175544, c:0.2502823473084046, v:0.21939151665462087, s:0.15834277868270874, a:0.3125, M:0.12978577114606527, m:0.3125

5-node2vec: h:0.18451992705907666, c:0.2919133960903358, v:0.22611280923044957, s:0.060545165091753006, a:0.3385416666666667, M:0.13855242830421458, m:0.3385416666666667

6-node2vec: h:0.18084094481305577, c:0.2280663746037616, v:0.2017265854876566, s:0.10317026823759079, a:0.2916666666666667, M:0.12407712556481366, m:0.2916666666666667

7-node2vec: h:0.23160897714580336, c:0.2719648956954091, v:0.2501698944632925, s:0.18499499559402466, a:0.2708333333333333, M:0.11182155211193323, m:0.2708333333333333

8-node2vec: h:0.21783495162551272, c:0.33607067717957867, v:0.26433361893828045, s:0.1044359877705574, a:0.3333333333333333, M:0.12673721340388008, m:0.3333333333333333

9-node2vec: h:0.1856833454707103, c:0.275297752612549, v:0.2217800596085762, s:0.0999346449971199, a:0.375, M:0.13446378105012644, m:0.375

--------------------------------------------------------------------------------
0-node2vec: h:0.20779034884965947, c:0.2962598729490152, v:0.2442611457666202, s:0.008569310419261456, a:0.22916666666666666, M:0.09505091649806348, m:0.22916666666666666

1-node2vec: h:0.22668813804155383, c:0.23709972826353243, v:0.23177706807388762, s:0.18778902292251587, a:0.3385416666666667, M:0.15148671511703427, m:0.3385416666666667

2-node2vec: h:0.21184867007301403, c:0.25720406215991903, v:0.2323335299490233, s:0.15350039303302765, a:0.2916666666666667, M:0.11908440690403747, m:0.2916666666666667

3-node2vec: h:0.22199583713551901, c:0.2588259908893271, v:0.23900034969684145, s:0.14634831249713898, a:0.3697916666666667, M:0.17076318759136988, m:0.3697916666666667

4-node2vec: h:0.17624038740422013, c:0.2489773073584646, v:0.2063877286583987, s:0.0439794659614563, a:0.22395833333333334, M:0.09506518632863005, m:0.22395833333333334

5-node2vec: h:0.2083851532155207, c:0.2772887046841794, v:0.23794918450183142, s:0.08951876312494278, a:0.3229166666666667, M:0.12795386818375323, m:0.3229166666666667

6-node2vec: h:0.18223792178894727, c:0.34346414449194906, v:0.23812800411473695, s:-0.02315703220665455, a:0.2760416666666667, M:0.12048002192151286, m:0.2760416666666667

7-node2vec: h:0.21581094728061412, c:0.2879117751171312, v:0.24670125113875285, s:0.11604070663452148, a:0.3072916666666667, M:0.12203479320381777, m:0.3072916666666667

8-node2vec: h:0.22005452526556954, c:0.2401409130358585, v:0.2296593586846177, s:0.16482679545879364, a:0.3229166666666667, M:0.14749002931558716, m:0.3229166666666667

9-node2vec: h:0.17554286822274687, c:0.22084960546178461, v:0.1956070095290337, s:0.03647184371948242, a:0.2864583333333333, M:0.13476353987024717, m:0.2864583333333333

--------------------------------------------------------------------------------
0-node2vec: h:0.21031460678996514, c:0.34403300980149226, v:0.2610461920051631, s:0.1478523164987564, a:0.3125, M:0.11592261904761907, m:0.3125

1-node2vec: h:0.25346824209598384, c:0.2812503750865159, v:0.266637576741356, s:0.2060188502073288, a:0.359375, M:0.14899374899374898, m:0.359375

2-node2vec: h:0.17836335252808252, c:0.35288766545644634, v:0.23695851846237098, s:0.03231942653656006, a:0.3020833333333333, M:0.09879433130579918, m:0.3020833333333333

3-node2vec: h:0.18240309801357044, c:0.3650204556010213, v:0.24325172528775346, s:0.04673895612359047, a:0.2604166666666667, M:0.09941599281221923, m:0.2604166666666667

4-node2vec: h:0.18039656673100518, c:0.30395250289765857, v:0.22641516794518296, s:0.0667930543422699, a:0.3385416666666667, M:0.1276848005119651, m:0.3385416666666667

5-node2vec: h:0.24331319202051238, c:0.28218850399045853, v:0.26131289843060046, s:0.13855884969234467, a:0.3697916666666667, M:0.14339885379439132, m:0.3697916666666667

6-node2vec: h:0.2749521974502276, c:0.2902525673570805, v:0.2823952881487371, s:0.2185206562280655, a:0.296875, M:0.118832385337667, m:0.296875

7-node2vec: h:0.2313527103406806, c:0.2834557741534566, v:0.25476760227274325, s:0.2158421128988266, a:0.3177083333333333, M:0.12849296420724993, m:0.3177083333333333

8-node2vec: h:0.17872725929302294, c:0.2605826555940199, v:0.21202901311977895, s:0.01007737684994936, a:0.3645833333333333, M:0.12405881155881154, m:0.36458333333333326

9-node2vec: h:0.23221574375990542, c:0.2857606253111774, v:0.25622063131155803, s:0.19821326434612274, a:0.25, M:0.1030610190936278, m:0.25

--------------------------------------------------------------------------------
0-node2vec: h:0.2006333555874697, c:0.3213946703300718, v:0.24704608938538644, s:0.059866707772016525, a:0.2604166666666667, M:0.11568340246019537, m:0.2604166666666667

