0-rolX: h:0.3020546023487582, c:0.6458601133279156, v:0.4116088008295662, s:0.054649244993925095, a:0.6354166666666666, M:0.46748780453318006, m:0.6354166666666666

1-rolX: h:0.26592034998676034, c:0.5971757864472538, v:0.36798031512869206, s:0.041194312274456024, a:0.640625, M:0.44243437118437123, m:0.640625

2-rolX: h:0.09379653934563621, c:0.4634280943945696, v:0.15601590043852756, s:-0.0900975838303566, a:0.5729166666666666, M:0.42689369296277113, m:0.5729166666666666

3-rolX: h:0.2027524271999867, c:0.6136474272432667, v:0.3047979605617328, s:-0.057125020772218704, a:0.7708333333333334, M:0.6532165351076121, m:0.7708333333333333

4-rolX: h:0.27260896673951923, c:0.6095585851952499, v:0.376733729806393, s:0.0021475565154105425, a:0.6614583333333334, M:0.5246007769489931, m:0.6614583333333334

5-rolX: h:0.12679418487305522, c:0.5042554588633715, v:0.20263591148171006, s:-0.09967228770256042, a:0.5520833333333334, M:0.39983177835976713, m:0.5520833333333334

6-rolX: h:0.3592510733554314, c:0.6449196006454715, v:0.4614515535227301, s:0.01717529445886612, a:0.6770833333333334, M:0.5965450557733766, m:0.6770833333333334

7-rolX: h:0.21723360045652143, c:0.6373182958979823, v:0.32402232946961906, s:-0.12326215952634811, a:0.5625, M:0.3648605560320331, m:0.5625

8-rolX: h:0.19929119497563516, c:0.6142773934547845, v:0.30094592522138003, s:-0.11091015487909317, a:0.625, M:0.4770546733297099, m:0.625

9-rolX: h:0.31273302620453175, c:0.5759024773312083, v:0.40534892836910363, s:0.07880251109600067, a:0.5677083333333334, M:0.45809076269274623, m:0.5677083333333334

--------------------------------------------------------------------------------
0-rolX: h:0.304731828164169, c:0.6294062844072826, v:0.41064618844738004, s:-0.08660420775413513, a:0.6354166666666666, M:0.4995547334363124, m:0.6354166666666666

1-rolX: h:0.22407771756130973, c:0.5192108014783967, v:0.3130509037830096, s:-0.1464255005121231, a:0.578125, M:0.40770265565433633, m:0.578125

2-rolX: h:0.24863563002389422, c:0.651731502296718, v:0.35995021777907665, s:-0.05588957294821739, a:0.59375, M:0.44783077262243925, m:0.59375

3-rolX: h:0.20454839759280866, c:0.5951153649606505, v:0.30445269621035925, s:-0.010276541113853455, a:0.6770833333333334, M:0.5385520549903661, m:0.6770833333333334

4-rolX: h:0.253050704746293, c:0.5807041254852184, v:0.35249592056290907, s:0.07418887317180634, a:0.6145833333333334, M:0.480244422017047, m:0.6145833333333334

5-rolX: h:0.2310588350471805, c:0.6200782295387013, v:0.3366662299568409, s:-0.06497799605131149, a:0.640625, M:0.5270869852971246, m:0.640625

