0-HSD-multi: h:0.452548412927717, c:0.6232256952174642, v:0.5243476248981701, s:0.3054404914536564, a:0.703125, M:0.655631423228293, m:0.703125

0-HSD-single: h:0.5485687554959954, c:0.6466435784886838, v:0.5935823334727424, s:0.26422123097651207, a:0.8177083333333334, M:0.7640214430895921, m:0.8177083333333333

0-graphwave: h:0.46163478049549106, c:0.7051785755833974, v:0.5579897680354547, s:0.26376368440706915, a:0.7916666666666666, M:0.7757317169780912, m:0.7916666666666666

1-HSD-multi: h:0.3577506731502648, c:0.5660033697541896, v:0.43840259880913623, s:0.13117924737941258, a:0.6979166666666666, M:0.5814744915587716, m:0.6979166666666666

1-HSD-single: h:0.3910227785668278, c:0.7227490452174131, v:0.5074851667682015, s:-0.0018542603540130838, a:0.7916666666666666, M:0.722107984261236, m:0.7916666666666666

1-graphwave: h:0.3481322408552579, c:0.6818382452980675, v:0.460925588504868, s:0.20466861591308938, a:0.7708333333333334, M:0.7028789648011385, m:0.7708333333333333

2-HSD-multi: h:0.5138254633876302, c:0.6959361782761897, v:0.5911738593384002, s:0.22783917820839497, a:0.7708333333333334, M:0.6275985063582278, m:0.7708333333333333

2-HSD-single: h:0.3884553601027527, c:0.647129095362379, v:0.48548578427445416, s:0.11675485531300982, a:0.7864583333333334, M:0.689878415944087, m:0.7864583333333334

2-graphwave: h:0.36352181435278547, c:0.7246493743756699, v:0.48416252529249837, s:0.13630817248514843, a:0.8020833333333334, M:0.713852862531391, m:0.8020833333333334

3-HSD-multi: h:0.3529085919066993, c:0.600376559704771, v:0.4445218640844919, s:0.0747433465432304, a:0.7395833333333334, M:0.6261208721778037, m:0.7395833333333334

3-HSD-single: h:0.38580802998452285, c:0.6461705707900892, v:0.4831452798795903, s:0.08781972146087173, a:0.8229166666666666, M:0.7631226564699953, m:0.8229166666666666

3-graphwave: h:0.3242734420869318, c:0.686047705053646, v:0.4403887840677485, s:0.17690822147481233, a:0.8020833333333334, M:0.7161489457928195, m:0.8020833333333334

4-HSD-multi: h:0.3492351768228682, c:0.5933225885515797, v:0.43967410112736227, s:-0.04511814575765327, a:0.7239583333333334, M:0.6340345425168699, m:0.7239583333333333

4-HSD-single: h:0.3446858421108124, c:0.6026464475305848, v:0.438544532965937, s:0.01087380163565265, a:0.8020833333333334, M:0.7209986535301126, m:0.8020833333333334

4-graphwave: h:0.36242587264595566, c:0.6895296337743153, v:0.47512157636078295, s:0.13082210216612875, a:0.8177083333333334, M:0.757753275433917, m:0.8177083333333333

5-HSD-multi: h:0.4397943154373909, c:0.6375129085765425, v:0.5205099287560226, s:0.13764701040561225, a:0.7604166666666666, M:0.645599571246123, m:0.7604166666666666

5-HSD-single: h:0.4939172859126467, c:0.661942172225793, v:0.565717014875569, s:0.1911738965105869, a:0.8645833333333334, M:0.7969774536461979, m:0.8645833333333333

5-graphwave: h:0.19036396344546577, c:0.6672204393347996, v:0.29621510585271627, s:0.10952043067303736, a:0.8072916666666666, M:0.7331174271428841, m:0.8072916666666666

6-HSD-multi: h:0.45500014356087887, c:0.6491792397275323, v:0.5350156899200447, s:0.2778800757986888, a:0.7916666666666666, M:0.7008708832503251, m:0.7916666666666666

6-HSD-single: h:0.5146697478058473, c:0.7039812717204543, v:0.5946211963409204, s:0.11616439913844341, a:0.8177083333333334, M:0.7623398817828986, m:0.8177083333333333

6-graphwave: h:0.36106151877984066, c:0.694350565914285, v:0.47508129484287875, s:0.07590539473025279, a:0.8072916666666666, M:0.7115245240938619, m:0.8072916666666666

7-HSD-multi: h:0.4491774926828808, c:0.6264151160082555, v:0.5231935751764577, s:0.12507700972942978, a:0.7395833333333334, M:0.6166499803331297, m:0.7395833333333334

7-HSD-single: h:0.42495162665031694, c:0.6405009230999666, v:0.5109226294613557, s:0.2660166204623735, a:0.7916666666666666, M:0.7416730309867258, m:0.7916666666666666

7-graphwave: h:0.34209804716211967, c:0.7045154804472713, v:0.46055848448089837, s:0.1894394388261703, a:0.78125, M:0.7253825164215364, m:0.78125

8-HSD-multi: h:0.49571032310034074, c:0.6585581986844293, v:0.5656467126825259, s:0.1834245384487869, a:0.7447916666666666, M:0.6377466089932741, m:0.7447916666666666

8-HSD-single: h:0.4277167791705471, c:0.6635037942988152, v:0.5201362818200098, s:0.08959238118688324, a:0.8385416666666666, M:0.7656870969674688, m:0.8385416666666666

8-graphwave: h:0.44728467893017293, c:0.657866949454951, v:0.5325130049271182, s:0.2429783252694159, a:0.796875, M:0.7166897769141684, m:0.796875

9-HSD-multi: h:0.4481599251271991, c:0.636468425836785, v:0.5259675202392187, s:0.3128511777144803, a:0.765625, M:0.6041682846483573, m:0.765625

9-HSD-single: h:0.26958960758759704, c:0.6362813404877193, v:0.3787180442464805, s:0.015706934963114993, a:0.8020833333333334, M:0.6645360755399147, m:0.8020833333333334

9-graphwave: h:0.3591616683090217, c:0.7103301192238075, v:0.4770926783067751, s:0.1709092756166233, a:0.7447916666666666, M:0.61629693397715, m:0.7447916666666666

--------------------------------------------------------------------------------
0-HSD-multi: h:0.4442916756252996, c:0.6086752460607122, v:0.513652118436814, s:0.2779507638886421, a:0.765625, M:0.6699256807355399, m:0.765625

0-HSD-single: h:0.5058824059056676, c:0.633655398991012, v:0.5626054991405103, s:0.19509255871568498, a:0.8177083333333334, M:0.7606855102761715, m:0.8177083333333333

0-graphwave: h:0.18139241398406988, c:0.6536703714649892, v:0.28398067473725586, s:0.09600992689222833, a:0.796875, M:0.7387556329389238, m:0.796875

1-HSD-multi: h:0.4021045415196425, c:0.6233941844870308, v:0.48887361121409667, s:0.09422553160013447, a:0.7552083333333334, M:0.6727015332219852, m:0.7552083333333334

1-HSD-single: h:0.41831338928385897, c:0.6434192877888726, v:0.5070031446100671, s:0.1310714167151352, a:0.8072916666666666, M:0.7477259200685413, m:0.8072916666666666

1-graphwave: h:0.3261360399569236, c:0.6947800833246826, v:0.4439009627707696, s:0.11514463117120836, a:0.7916666666666666, M:0.730313072177131, m:0.7916666666666666

2-HSD-multi: h:0.41071038628728773, c:0.5873412239607491, v:0.4833961260087895, s:0.09250154619095607, a:0.7135416666666666, M:0.5697940949045702, m:0.7135416666666666

2-HSD-single: h:0.35297322181361174, c:0.5783225678771085, v:0.4383835560963842, s:0.12409010798339772, a:0.8072916666666666, M:0.734026432690687, m:0.8072916666666666

2-graphwave: h:0.33672796325549287, c:0.6994719479184994, v:0.45460680287087857, s:0.22187054980003326, a:0.78125, M:0.691715053051967, m:0.78125

3-HSD-multi: h:0.5464882988992211, c:0.6625406148389854, v:0.5989446396869234, s:0.3305481449679592, a:0.7552083333333334, M:0.6686599873049454, m:0.7552083333333334

3-HSD-single: h:0.34974891297059835, c:0.658099713568819, v:0.4567544239997127, s:0.06178372032012384, a:0.8229166666666666, M:0.7731394593593511, m:0.8229166666666666

3-graphwave: h:0.20101102882259145, c:0.7141082601588575, v:0.31371568230194435, s:0.1388516680334471, a:0.7864583333333334, M:0.7158745605884272, m:0.7864583333333334

4-HSD-multi: h:0.5012976821193545, c:0.6553763638303016, v:0.5680747367927723, s:0.16580586708165715, a:0.75, M:0.6344635990638985, m:0.75

4-HSD-single: h:0.6107534872918389, c:0.6800525725140442, v:0.6435428111752124, s:0.3087532578092836, a:0.8072916666666666, M:0.7024609942124317, m:0.8072916666666666

4-graphwave: h:0.3438166950140411, c:0.6820911601708383, v:0.45718399991384917, s:0.09506114106177678, a:0.78125, M:0.6784234179848552, m:0.78125

5-HSD-multi: h:0.30207529452165055, c:0.5338252594010761, v:0.3858244182275863, s:-0.017814711751196782, a:0.75, M:0.6730409083522257, m:0.75

5-HSD-single: h:0.3967602358414866, c:0.6579958353502463, v:0.49502740955320496, s:0.16758964967045353, a:0.8385416666666666, M:0.7879337329909033, m:0.8385416666666666

5-graphwave: h:0.18496007809055398, c:0.6570859337308531, v:0.2886651415928562, s:-0.02762946464334845, a:0.8177083333333334, M:0.7612141127302792, m:0.8177083333333333

6-HSD-multi: h:0.4031820902954457, c:0.613585354967798, v:0.4866139787285199, s:0.10233476757148204, a:0.78125, M:0.6580436027397857, m:0.78125

6-HSD-single: h:0.583928896942639, c:0.6653797149347773, v:0.6219991430395992, s:0.2602851348524439, a:0.8385416666666666, M:0.7811916939443536, m:0.8385416666666666

6-graphwave: h:0.33417623399002666, c:0.7077457033023037, v:0.45399138896492763, s:0.12019133862477581, a:0.8489583333333334, M:0.8030817951677086, m:0.8489583333333334

7-HSD-multi: h:0.45700426887638, c:0.6414178615542745, v:0.5337305080496432, s:0.13614442025869533, a:0.6875, M:0.5869801456118592, m:0.6875

7-HSD-single: h:0.33771295481097324, c:0.5911980390136772, v:0.42986946642048385, s:0.03575593519012129, a:0.78125, M:0.7347042170184288, m:0.78125

7-graphwave: h:0.4388364176946651, c:0.6590284446650142, v:0.5268511484994278, s:0.13972613099392914, a:0.7760416666666666, M:0.7447648129583869, m:0.7760416666666666

