0-struc2vec: h:0.48642319340636303, c:0.6163785501970407, v:0.5437438315147463, s:0.4720359742641449, a:0.6302083333333334, M:0.5235142978511238, m:0.6302083333333334

1-struc2vec: h:0.4901380463722626, c:0.5897100790396195, v:0.5353333293165917, s:0.4949676990509033, a:0.625, M:0.5687615299371417, m:0.625

2-struc2vec: h:0.4841364313333006, c:0.6120627969101353, v:0.5406351156126642, s:0.5006619095802307, a:0.609375, M:0.5039536499415015, m:0.609375

3-struc2vec: h:0.48540918341257144, c:0.5945279024820609, v:0.5344557704872879, s:0.4855481684207916, a:0.5729166666666666, M:0.4701610543023787, m:0.5729166666666666

4-struc2vec: h:0.43954521498309634, c:0.5309468705268311, v:0.4809419053174358, s:0.41859689354896545, a:0.59375, M:0.5111332372005664, m:0.59375

5-struc2vec: h:0.46959936343716496, c:0.5836647086382621, v:0.5204555683688753, s:0.371687650680542, a:0.6510416666666666, M:0.53258730440017, m:0.6510416666666666

6-struc2vec: h:0.48452616399953524, c:0.603000074983135, v:0.5373099107867433, s:0.4541575014591217, a:0.6354166666666666, M:0.5041958445632867, m:0.6354166666666666

7-struc2vec: h:0.46027025031278307, c:0.5843487535430651, v:0.5149405593244293, s:0.46294379234313965, a:0.5364583333333334, M:0.41901491072543706, m:0.5364583333333334

8-struc2vec: h:0.5052380711044048, c:0.6112313623621233, v:0.553203420105303, s:0.4177969992160797, a:0.5520833333333334, M:0.4744442919977821, m:0.5520833333333334

9-struc2vec: h:0.4971890121646819, c:0.5976628817913777, v:0.5428157350701499, s:0.40785089135169983, a:0.546875, M:0.47105978017418154, m:0.546875

--------------------------------------------------------------------------------
0-struc2vec: h:0.4638445960094596, c:0.5889572303814323, v:0.5189668591849417, s:0.44751691818237305, a:0.5520833333333334, M:0.43994862097651666, m:0.5520833333333334

1-struc2vec: h:0.49973949302837517, c:0.5920198107905689, v:0.5419796819176873, s:0.45583513379096985, a:0.6302083333333334, M:0.5303404309108479, m:0.6302083333333334

2-struc2vec: h:0.4716819826949364, c:0.5782295949077024, v:0.519549431775443, s:0.40167704224586487, a:0.59375, M:0.4369025138374984, m:0.59375

3-struc2vec: h:0.5504269053286157, c:0.6730067739428692, v:0.6055759983118241, s:0.45468154549598694, a:0.609375, M:0.4518570780285551, m:0.609375

4-struc2vec: h:0.4730667246061092, c:0.5780975399416293, v:0.520334868576796, s:0.44717660546302795, a:0.6354166666666666, M:0.5262476359937084, m:0.6354166666666666

5-struc2vec: h:0.511229541949759, c:0.6313369118101794, v:0.5649703423001201, s:0.4515444338321686, a:0.59375, M:0.5311455722639933, m:0.59375

6-struc2vec: h:0.4924228367619262, c:0.602894964277786, v:0.5420878731220106, s:0.460513710975647, a:0.6145833333333334, M:0.4886284961553779, m:0.6145833333333334

7-struc2vec: h:0.4680116006803397, c:0.5932540530310427, v:0.523242748878531, s:0.45603013038635254, a:0.5989583333333334, M:0.52214161886827, m:0.5989583333333334

8-struc2vec: h:0.4903429441436759, c:0.5823791377203514, v:0.5324128324112363, s:0.39660295844078064, a:0.5885416666666666, M:0.4663459002008142, m:0.5885416666666666

9-struc2vec: h:0.4957915572055281, c:0.5654004531548149, v:0.5283130072175156, s:0.4003273546695709, a:0.6041666666666666, M:0.5394187882205467, m:0.6041666666666666

--------------------------------------------------------------------------------
0-struc2vec: h:0.4762731555973471, c:0.5750991053096798, v:0.5210414538248382, s:0.3642359673976898, a:0.546875, M:0.4594303991910374, m:0.546875

1-struc2vec: h:0.49218828484478744, c:0.628637166509041, v:0.5521071071325919, s:0.36444082856178284, a:0.6041666666666666, M:0.5107955714821545, m:0.6041666666666666

2-struc2vec: h:0.4540690522260068, c:0.5750470116844114, v:0.5074472369788354, s:0.5317005515098572, a:0.5885416666666666, M:0.48180084514511257, m:0.5885416666666666

3-struc2vec: h:0.4621367940617296, c:0.5885988913041829, v:0.5177576214533468, s:0.4211079180240631, a:0.5729166666666666, M:0.49862592066612915, m:0.5729166666666666

4-struc2vec: h:0.4683545170435648, c:0.5622337948322657, v:0.5110182881172883, s:0.4491749703884125, a:0.5625, M:0.46982469332671806, m:0.5625

5-struc2vec: h:0.479667896053747, c:0.605003375380474, v:0.5350942793763599, s:0.4524717628955841, a:0.5572916666666666, M:0.41848247271263855, m:0.5572916666666666

6-struc2vec: h:0.49236602623001935, c:0.5903579846370404, v:0.5369276233490532, s:0.4476560056209564, a:0.5729166666666666, M:0.47877301072007145, m:0.5729166666666666

7-struc2vec: h:0.4568150674414478, c:0.5769914803340738, v:0.5099182290325047, s:0.41602230072021484, a:0.5208333333333334, M:0.4085071101548776, m:0.5208333333333334

8-struc2vec: h:0.49355762107135365, c:0.596975511129574, v:0.5403628819902393, s:0.48144659399986267, a:0.5416666666666666, M:0.43454578639966623, m:0.5416666666666666

9-struc2vec: h:0.45984722942011685, c:0.5837487999381693, v:0.5144428701859814, s:0.37126126885414124, a:0.625, M:0.5204193074414113, m:0.625

--------------------------------------------------------------------------------
0-struc2vec: h:0.46928769017109734, c:0.5908632120880664, v:0.5231044588407076, s:0.3880525529384613, a:0.5729166666666666, M:0.47997868440849034, m:0.5729166666666666

1-struc2vec: h:0.454188993955211, c:0.5694585517884987, v:0.5053337114154831, s:0.47191858291625977, a:0.5520833333333334, M:0.4600843483418305, m:0.5520833333333334

2-struc2vec: h:0.5100620782907496, c:0.5958436231110613, v:0.5496259515708839, s:0.4564596116542816, a:0.5520833333333334, M:0.43215361448247225, m:0.5520833333333334

3-struc2vec: h:0.4907506545974491, c:0.6092222436051588, v:0.5436065112751329, s:0.4568350613117218, a:0.5989583333333334, M:0.512739912818047, m:0.5989583333333334

4-struc2vec: h:0.4713278555772014, c:0.5778078116475468, v:0.5191643470095714, s:0.4468867778778076, a:0.6041666666666666, M:0.47475294055438494, m:0.6041666666666666

5-struc2vec: h:0.4713267999653411, c:0.5944259089095156, v:0.5257671111314237, s:0.4166227877140045, a:0.5208333333333334, M:0.4394771391989179, m:0.5208333333333334

6-struc2vec: h:0.5009122624097256, c:0.5792495177619215, v:0.5372402389496854, s:0.41806939244270325, a:0.5416666666666666, M:0.46376264880221935, m:0.5416666666666666

7-struc2vec: h:0.5061243773694477, c:0.5979757586601991, v:0.5482294561111978, s:0.4629640281200409, a:0.5833333333333334, M:0.43853219456194287, m:0.5833333333333334

8-struc2vec: h:0.4755886543841329, c:0.5739062573254522, v:0.5201422162579751, s:0.3977449834346771, a:0.515625, M:0.47425497976968556, m:0.515625

9-struc2vec: h:0.462799495745107, c:0.5525952128898535, v:0.5037268437618466, s:0.37518104910850525, a:0.5625, M:0.46817411415907767, m:0.5625

