苹果园:苹果园 0.0, 古城 0.003972796763110606, 双合 0.010066987786320624, 焦化厂 0.014506000291020959, 垡头 0.016316911931662084, 八角游乐园 0.025570668434714283, 欢乐谷景区 0.05034682132960692, 张郭庄 0.0616372391852038, 园博园 0.08148513072107402, 八宝山 0.08207388260955543
古城:古城 0.0, 苹果园 0.0021738944586335, 八角游乐园 0.011450809743852639, 垡头 0.011617759448122893, 双合 0.016391625960141643, 焦化厂 0.027580124646005625, 欢乐谷景区 0.03259184346027778, 张郭庄 0.04917433181092029, 八宝山 0.0557507842787311, 园博园 0.06305055254013615
八角游乐园:八角游乐园 0.0, 古城 0.008980775476774078, 欢乐谷景区 0.01511710417433432, 八宝山 0.0197814736484477, 垡头 0.020247087132417674, 苹果园 0.023551113217780615, 张郭庄 0.04112305524241291, 园博园 0.042944912535025546, 双合 0.047089253812828864, 南楼梓庄 0.049167399708414286
八宝山:八宝山 0.0, 八角游乐园 0.017172814450095025, 南楼梓庄 0.018219624962250405, 欢乐谷景区 0.026129122669010393, 玉泉路 0.0284252854544693, 大瓦窑 0.03929461334603267, 管庄路西口 0.043769271560625114, 园博园 0.04730106668070599, 东风 0.05341616005300249, 古城 0.057011540600344635
玉泉路:玉泉路 0.0, 化工 0.01946782520591978, 八宝山 0.025515263523029613, 南楼梓庄 0.03402721987125073, 郭庄子 0.035925374353702265, 五棵松 0.0384475643136003, 东风 0.03922845616113585, 北岗子 0.04129183494326569, 黄渠 0.04563631671962936, 清华东路西口 0.04660324039401118
五棵松:五棵松 0.0, 百子湾 0.017344757877832618, 褡裢坡 0.021255316436861935, 青年路 0.02667133653392081, 六道口 0.031349938716729336, 酒仙桥 0.03147231768740027, 来广营 0.03262930057144005, 首经贸 0.03267496592968432, 大井 0.03272794336134259, 纪家庙 0.03290527244908998
万寿路:万寿路 0.0, 森林公园南门 0.007240948826953684, 四季青 0.013316229940474229, 奥林匹克公园 0.01376527000347471, 大郊亭 0.014115129500515312, 望京东 0.014620311784618286, 远大路 0.015710962585045774, 海淀五路居 0.016116915496551136, 林萃桥 0.017200375499567756, 十里堡 0.01723200346415543
公主坟:公主坟 0.0, 西钓鱼台 0.0010908707800158903, 北苑路北 0.001172657751089946, 天坛东门 0.002179889679265598, 六里桥东 0.0021882122433857783, 双井 0.0029134632228305394, 陶然亭 0.0037304172393935377, 莲花桥 0.004081576955832979, 大屯路东 0.004498339573830937, 劲松 0.005038509665983909
军事博物馆:军事博物馆 0.0, 惠新西街北口 0.0011106053685121463, 广渠门内 0.001898925624298397, 望京西 0.0021595697664932518, 磁器口 0.0024049265270932943, 北京西站 0.002677353911912413, 关庄 0.0031678908039808034, 木樨地 0.003177947153373841, 白堆子 0.003988723916517707, 桥湾 0.004298395568230801
木樨地:木樨地 0.0, 白堆子 0.0017274214641814804, 惠新西街北口 0.001774224943402158, 军事博物馆 0.0020402786213170043, 磁器口 0.0023412909591871396, 金台夕照 0.0028628503182782316, 国贸 0.0031759828260138727, 安贞门 0.004343467135430732, 白石桥南 0.004670008704938255, 南礼士路 0.004709060713533865
南礼士路:南礼士路 0.0, 安贞门 0.0012919611785012389, 北土城 0.0014435412128269215, 金台夕照 0.0015507266334866907, 团结湖 0.0015757686722094198, 知春路 0.001986803312013761, 三元桥 0.0020299080347806076, 呼家楼 0.0021899946830095177, 农业展览馆 0.002244448721815072, 西坝河 0.002258610965073552
复兴门:复兴门 0.0, 和平门 0.0012699111394632234, 长椿街 0.0013220274341199907, 宣武门 0.0014860072827298345, 前门 0.0015883217146690698, 西单 0.0017950288640975534, 灵境胡同 0.00190897822560737, 知春路 0.0020375449954852, 王府井 0.002167165033472298, 三元桥 0.002306110074444378
西单:西单 0.0, 长椿街 0.0010007581030810932, 宣武门 0.0016576281395460609, 天安门西 0.0016901832536021222, 灵境胡同 0.00201215785215949, 天安门东 0.0021197807426112944, 复兴门 0.0021202192013812676, 和平门 0.0022051175856073165, 王府井 0.00391595335743058, 亮马桥 0.004125189023748666
天安门西:天安门西 0.0, 天安门东 0.0016310260228980288, 西单 0.0022042962116536123, 长椿街 0.0035063332343538596, 灵境胡同 0.0043571303914429725, 宣武门 0.004928625543836888, 和平门 0.005461736779008879, 复兴门 0.006394342168770688, 人民大学 0.006521636891950608, 亮马桥 0.006635567836668535
天安门东:天安门东 0.0, 天安门西 0.0015534189525207918, 西单 0.0025899213091483747, 长椿街 0.0029649340503279603, 灵境胡同 0.003260652689796792, 王府井 0.003780429849812722, 宣武门 0.004133247936493968, 和平门 0.0042740453767913834, 亮马桥 0.004767695446765868, 农业展览馆 0.004990143277727462
王府井:王府井 0.0, 北太平庄 0.0022112856576342846, 复兴门 0.0023386745328210267, 前门 0.002669686205485608, 亮马桥 0.0026857335072870466, 和平门 0.0027439032608045, 灵境胡同 0.0028264004258539434, 农业展览馆 0.0029078788826478255, 知春路 0.0030081157577242024, 天安门东 0.003218451505180435
东单:东单 0.0, 北京站 0.0013253027017494836, 柳芳 0.0019773726591254684, 东大桥 0.002135153451033828, 建国门 0.0022636867534361993, 安华桥 0.00289332349682175, 光熙门 0.0028940182434959855, 东直门 0.0029432287934214405, 安德里北街 0.0031973755624127844, 灯市口 0.0033092625790366818
建国门:建国门 0.0, 东大桥 0.0016699032814790854, 东单 0.0020204949439312416, 北京站 0.002085095988005414, 灯市口 0.0032150160217890144, 和平西桥 0.0036979773212681144, 安德里北街 0.0038481899863165676, 光熙门 0.004664378361661427, 东直门 0.004861788021472073, 和平里北街 0.005015501657711097
永安里:永安里 0.0, 安贞门 0.0015531248491876173, 太阳宫 0.0020841522820136144, 光熙门 0.002086952815362509, 惠新西街南口 0.002261659142122585, 芍药居 0.002497777523217852, 和平西桥 0.0031985879792185328, 南礼士路 0.003531258101187068, 西坝河 0.003579848279545354, 崇文门 0.0037675130037441574
国贸:国贸 0.0, 菜市口 0.002369693780124922, 金台夕照 0.002941599848350316, 桥湾 0.003087683348694895, 广安门内 0.00323531524834369, T3航站楼 0.0034011710098730196, T2航站楼 0.003401171009873122, 虎坊桥 0.003485800864171032, 珠市口 0.004026020421462823, 木樨地 0.004151524819998865
大望路:大望路 0.0, 红庙 0.0037465227225912862, 陶然亭 0.004068991886214346, 西钓鱼台 0.004612140746461401, 公主坟 0.004720215482246454, 北苑 0.005135347824319757, 双井 0.005531616428314962, 朝阳公园 0.005600075240110506, 北苑路北 0.0059099871264942745, 花园桥 0.006635601569311823
四惠:四惠 0.0, 立水桥 0.0027992234228527276, 四惠东 0.004185230368656642, 立水桥南 0.008064862604560146, 阜通 0.009556813724556941, 安立路 0.009557374402612881, 枣营 0.011517241902894902, 海淀五路居 0.012475892212384336, 望京 0.012983320408953539, 奥林匹克公园 0.013210850685872823
四惠东:四惠东 0.0, 四惠 0.006373162703604331, 立水桥 0.009875452845426062, 奥林匹克公园 0.015067154450211357, 天通苑南 0.016201241762562848, 海淀五路居 0.016644432431949067, 四季青 0.01752674553049772, 陶然桥 0.018518513455369347, 远大路 0.0193946132617909, 大郊亭 0.019400878501015423
西直门:西直门 0.0, 车公庄 0.002164603509618941, 新街口 0.002293337509300412, 东大桥 0.003349023780900632, 积水潭 0.004347552943501841, 安德里北街 0.0046399333216130614, 平安里 0.004694424022596757, 建国门 0.004993980842284635, 灯市口 0.005170705269709486, 动物园 0.005322411825047902
车公庄:车公庄 0.0, 新街口 0.0006554154256806659, 阜成门 0.0019546290158159547, 平安里 0.001972497166632505, 西直门 0.0028876985754013205, 东大桥 0.003963876933156099, 车公庄西 0.0047217545814402274, 北京站 0.004742917384628734, 东单 0.004898262359437716, 动物园 0.0052125773013960725
阜成门:阜成门 0.0, 西四 0.0016603617360145565, 柳芳 0.0022297093150687487, 光熙门 0.0030670687942258145, 崇文门 0.003079274022927181, 前门 0.0030883364336299034, 新街口 0.0031244585338875063, 车公庄 0.003167407230822669, 平安里 0.003327709737303907, 东单 0.003426047522703402
长椿街:长椿街 0.0, 宣武门 0.0005990423101805268, 和平门 0.0013021047669824447, 西单 0.001878758124923028, 知春路 0.002469388460527044, 复兴门 0.0025317125105118604, 北土城 0.0031177711537318537, 灵境胡同 0.0031957658865674043, 三元桥 0.0032833494574019415, 团结湖 0.0033142477412609252
宣武门:宣武门 0.0, 长椿街 0.0008687079756684365, 和平门 0.0010001901622942902, 北土城 0.002421424934561798, 知春路 0.002553351390930739, 西单 0.002778061942325119, 复兴门 0.0029447577181615937, 呼家楼 0.0031307350503260853, 前门 0.0033103606861232707, 团结湖 0.0033730691065717447
和平门:和平门 0.0, 宣武门 0.000774715312794825, 长椿街 0.0013408992188213252, 北土城 0.0022211141942891106, 前门 0.002313113916281594, 知春路 0.0024874325983333277, 复兴门 0.0025197169303732003, 西单 0.003142008985588916, 灵境胡同 0.003221174833048168, 呼家楼 0.003282682193166077
前门:前门 0.0, 北土城 0.0011425111258223982, 呼家楼 0.001511505941218575, 知春路 0.001544475355040553, 西坝河 0.0018479061151501896, 团结湖 0.0018771464231747657, 和平门 0.0020455519234730104, 南礼士路 0.002262972312986903, 三元桥 0.0023011055460575294, 亮马桥 0.002409281410117138
崇文门:崇文门 0.0, 光熙门 0.0009613357096141259, 北京站 0.0016109962559746971, 太阳宫 0.002239710605629077, 西坝河 0.002873615581400548, 永安里 0.0028932986134145144, 柳芳 0.0032743669742431756, 和平西桥 0.0034286566724488123, 芍药居 0.0036071720361792207, 马甸桥 0.003855297841780288
北京站:北京站 0.0, 崇文门 0.0010493421557894208, 光熙门 0.0011808964284777206, 东单 0.0023717432222878053, 和平西桥 0.002708308809877148, 东大桥 0.002731739493474124, 永安里 0.00274484034894418, 柳芳 0.002941928333617818, 建国门 0.003317172607498641, 安华桥 0.0037463172498008535
朝阳门:朝阳门 0.0, 东四十条 0.0019416968134965012, 东四 0.0021967413216480844, 灯市口 0.0030159590116615514, 鼓楼大街 0.003058656980796575, 积水潭 0.003241431456341414, 建国门 0.0039188302197853235, 南锣鼓巷 0.004179573413795655, 什刹海 0.004417345702884611, 安德里北街 0.005146313247966376
东四十条:东四十条 0.0, 鼓楼大街 0.0020390976550386727, 东四 0.0020434021193251476, 灯市口 0.002166248722173492, 朝阳门 0.0022048961356471225, 安定门 0.0024043647222026323, 雍和宫 0.0025686737391371747, 张自忠路 0.0027047148340606404, 安德里北街 0.003170992374345061, 南锣鼓巷 0.0033248621450047188
东直门:东直门 0.0, 安德里北街 0.0012526812300241766, 和平里北街 0.0014797627904306679, 柳芳 0.0015938014052374761, 雍和宫 0.001897507992611465, 北新桥 0.002118929867374421, 灯市口 0.002393840383254338, 东大桥 0.0024909766450930586, 东单 0.0025490523501538282, 张自忠路 0.0026383973879673187
雍和宫:雍和宫 0.0, 北新桥 0.0009196735475740633, 东直门 0.0012027153766250836, 安定门 0.0016595037140821438, 和平里北街 0.0017518675104208885, 安德里北街 0.0018809746669441038, 张自忠路 0.002009657265486929, 灯市口 0.003129613246363237, 东四十条 0.0031551634024117436, 鼓楼大街 0.004122055952231634
安定门:安定门 0.0, 雍和宫 0.0007983435984217132, 张自忠路 0.0008930705326758515, 北新桥 0.0012261520406332237, 安德里北街 0.0016554617473546161, 东直门 0.0016998436674195358, 鼓楼大街 0.0019833144630960384, 东四十条 0.002116060565465595, 什刹海 0.0025568869128110992, 灯市口 0.0025900670785629822
鼓楼大街:鼓楼大街 0.0, 东四十条 0.0009562534079556586, 东四 0.0010461191919640261, 安定门 0.0011547559134596364, 张自忠路 0.001159723440637279, 南锣鼓巷 0.0014371391477593295, 灯市口 0.0014890431527510208, 什刹海 0.0015937027240556837, 朝阳门 0.0022397266568847437, 积水潭 0.002349075328628367
积水潭:积水潭 0.0, 鼓楼大街 0.0018994570740658895, 东四 0.0019258203874763765, 朝阳门 0.002062487509874248, 灯市口 0.0022342366593489944, 什刹海 0.002646766289876924, 东四十条 0.002812736615371136, 南锣鼓巷 0.0028576160291810667, 西直门 0.003715730538026969, 建国门 0.0038024515620359717
安河桥北:安河桥北 0.0, 北宫门 0.004668447698532586, 郭公庄 0.021052989606470708, 常营 0.02278034649607125, 大葆台 0.023338932553122433, 国展 0.025934584002828425, 草房 0.02701713598069333, 西苑 0.029988744187994798, 南邵 0.03269424587657943, 沙河高教园 0.035535207585199534
北宫门:北宫门 0.0, 安河桥北 0.00266083468245054, 常营 0.010495282133734263, 郭公庄 0.012136196887904164, 西苑 0.013382441300267727, 大葆台 0.022754648194666084, 国展 0.02316513581722059, 孙河 0.023879221025011454, 草房 0.02446573375669095, 农大南路 0.02510037027507488
