,0,1,2,3,4,5,6,7,8,9
1,-0.15542336324550562,-0.0009732063206396634,-6.08385877122264e-05,0.11428880731534315,0.0004716945548028178,-0.00036402126480710194,-0.0005067941784183844,0.00029173261203672,0.0002266081014528421,0.00013600921040864713
2,-0.04991304970818906,-0.0004520128062153215,-9.898740287549339e-05,0.07504173022795459,0.07647073167755296,-0.10639629321875538,-0.03539904688429681,-0.047695599665418725,-0.1113699992539897,0.3585186181355608
3,-0.04987716241054254,-0.0005054994068210754,-6.688181005386399e-05,0.07534447997037583,0.10711256462604635,-0.12837437605117039,0.05701366918057478,-0.09839718376343295,-0.08791107961681066,0.0016203178235838682
4,-0.04994570124306119,-0.00041176151622680053,-0.00014810601911729646,0.07487149070560216,0.08056005421097313,-0.10373118589325683,0.025991720605116446,-0.038035145216824114,-0.09731635323170391,0.22381450637359007
5,-0.09722757572048372,0.18549722014049866,0.36462375463984,-0.24281986709087997,-0.00016792911417987704,0.00022180774980734908,-7.705210784320967e-05,-0.0001906954574892997,0.00012248809309299574,-0.00013803461646749352
6,-0.09725567621386483,0.22541960709957534,-0.3413550484399397,-0.24285645273691564,-0.00033600518225780065,0.0003152952953128661,-7.408371392395252e-05,-0.00010559249686179897,0.0001002309802247379,-0.00020372520875509224
7,-0.09725567621386494,0.22541960709957495,-0.34135504843993997,-0.2428564527369152,-0.0003360051822572013,0.00031529529531279765,-7.408371392405104e-05,-0.00010559249686214126,0.0001002309802245001,-0.00020372520875556086
8,-0.04992067653654367,-0.0003987710582705409,-0.00010426497715997627,0.07505317379558989,0.03762153819694766,-0.01244497589986604,0.03558356230299949,-0.0124211093209522,-0.05039389074297802,0.12036519828700971
9,-0.049927734959776704,-0.0004186679565516322,-0.00010407526469810852,0.07517169743095577,0.11074338713576533,-0.10875617571928534,0.1630065823075418,-0.06802369416605455,-0.0686269652185272,-0.23745342544548334
10,-0.049767621445151775,-0.0007330043964709004,-1.1097096040168937e-05,0.07521396115357022,-0.005359090122842695,0.1994851339096321,0.0306590901897704,0.039346255029902515,-0.010711673005334153,0.016621644649945175
11,-0.09722757572048367,0.18549722014049883,0.36462375463984004,-0.24281986709088005,-0.00016792911417958648,0.00022180774980696324,-7.705210784310612e-05,-0.00019069545748910333,0.00012248809309302328,-0.0001380346164673597
12,-0.04986348131036899,-0.0007614096436293012,-3.319463849069568e-05,0.07427459135187206,0.048958945647432764,-0.04902187553542896,-0.03761797748559064,0.07292231428833551,-0.02241239949343642,0.22240746989224233
13,-0.05003284908835811,-0.0028933766360252065,-8.46358773154469e-06,0.07167197085601291,0.030660497141806797,-0.02118631853323468,-0.015234585753653739,0.04857170729178494,-0.01261896042201163,0.06199655710314811
14,-0.04994811382754236,-0.0003975249632246082,-0.00012513724222668575,0.07521154506587344,0.1160238875487853,-0.12470687267341717,0.15619824426282708,-0.07668379724858798,-0.07766886017780959,-0.20282422301360375
15,0.27011081715477786,0.0005150545183513361,1.8965690202933e-05,-0.03128774619404877,-0.000179244808021391,5.4860643932835066e-05,7.092972619382168e-05,-0.00014594504059127345,-0.00034803518281158196,-2.1651244293742746e-05
33,-0.04984560800761592,-0.0005217360630545535,-5.5023303349535e-05,0.07553260021078512,0.010739258117554858,0.08482520101203377,-0.26767811895509297,-0.16345661157136576,-0.01971552887159671,0.15438883649017118
34,-0.0498530424024848,-0.0004916040930104932,-3.334783366288415e-05,0.07557490848273708,-0.032033858423680464,0.033786583524610975,-0.49199655129340003,-0.28228768564508633,-0.052050380661353805,-0.2605386316344918
32,-0.0499329067122634,-0.0004119300011217146,-8.255772147962336e-05,0.07517023578765988,0.09899500605622666,-0.1292894070601181,0.10559201843092261,-0.06684527031532074,-0.1012790272230409,-0.04564710841961157
22,-0.09658964975532014,-0.4059172447756764,-0.022938610235322315,-0.24727366052853755,-0.0004906611143796339,0.00023882975439999102,9.375741478511784e-05,-0.0004092307995208854,8.07332574539728e-05,-0.00044994322106427866
20,-0.04989508337208165,-0.0004368241634142522,0.0001123066915038878,0.07479608054106517,0.08447377620362359,-0.07332437763252449,0.13924600190259032,-0.04039400510122566,-0.06790849418161973,-0.20245560560574766
18,-0.09658964975532007,-0.4059172447756765,-0.022938610235322315,-0.2472736605285379,-0.0004906611143796427,0.00023882975439981863,9.375741478517893e-05,-0.0004092307995210585,8.073325745378494e-05,-0.00044994322106430983
31,-0.049937827939782575,-0.0004857452199039387,3.897412917924627e-05,0.07565100020821731,-0.01407382818387897,0.36165279460067906,0.11986417983876291,0.01030684407986015,-0.014845208713766442,-0.022323174470092456
29,-0.04996254580570026,-0.0004702915019017002,4.4270730205085174e-05,0.07566368989580129,-0.018922932234122423,0.366112721506955,0.11640017395633054,0.010188697592166673,-0.015815905671570103,-0.01675968996507707
28,-0.04992617127059058,-0.00042171530692073554,-8.332245423564511e-05,0.07546657980259483,-0.006643299128880987,0.23961405177855852,0.05732225776259928,-0.010480640135226833,-0.0033195945136691,0.000501786588140367
17,-0.04979813786600294,-0.0005365047691286548,1.7946016991815894e-05,0.0750218806818878,-0.004143546734082656,-0.05281458665192021,-0.22687024012841936,0.583432965575981,-0.2043494938098833,-0.139160062308987
16,0.27011081715477775,0.0005150545183511015,1.8965690203020983e-05,-0.03128774619404885,-0.00017924480802130927,5.4860643932935246e-05,7.092972619380637e-05,-0.0001459450405912888,-0.0003480351828115861,-2.1651244293572615e-05
19,0.2701108171547778,0.0005150545183512895,1.8965690203057358e-05,-0.03128774619404869,-0.000179244808021346,5.4860643932879e-05,7.092972619379065e-05,-0.0001459450405912817,-0.00034803518281161286,-2.1651244293645663e-05
21,0.27011081715477786,0.0005150545183514377,1.8965690202892858e-05,-0.03128774619404873,-0.00017924480802141725,5.4860643932821974e-05,7.092972619380123e-05,-0.0001459450405912508,-0.0003480351828115929,-2.1651244293770536e-05
23,0.27011081715477786,0.0005150545183514524,1.8965690202931835e-05,-0.031287746194048685,-0.00017924480802142544,5.4860643932832966e-05,7.092972619380424e-05,-0.00014594504059123138,-0.00034803518281161,-2.1651244293759253e-05
24,-0.0494755007453232,-0.0004932338746244812,-7.483433344156819e-05,0.07522450616257827,0.08169525811263671,-0.0788787695781003,-0.03347172624300293,0.07308277110839569,0.4892872358885777,-0.02114829373528685
30,-0.04926014039251443,-0.0005062161853205239,-9.202113546582213e-05,0.07500126254769404,0.0704134190350243,-0.053713907415038425,-0.020654297581904783,0.0637397416406465,0.37397290793090454,-0.018143567796045035
26,-0.0500445407384973,-0.00035077600141926826,6.817430450695627e-05,0.07571525133704139,-0.45281944275230596,-0.11292081918176355,0.07265930941817121,-0.024065586909421847,0.01344304869427906,-0.00023773631219771722
25,-0.0500408268047638,-0.0003497074627142585,6.126495689025855e-05,0.07571987847308606,-0.45693087278670913,-0.11718922230908843,0.07491364194998212,-0.024664098734346853,0.014426943567896538,5.135993984315591e-05
27,-0.0484100108829005,-0.0007203547535320793,-9.38369829495087e-06,0.07432934460659375,0.03902633158345027,-0.014217762028879642,-0.025218746794109473,0.053845360037315056,0.1283955900559336,0.008004852868576362
37,-0.1554233632455055,-0.000973206320639468,-6.0838587711906345e-05,0.11428880731534369,0.0004716945548041238,-0.0003640212648082299,-0.0005067941784172016,0.00029173261203540863,0.0002266081014527391,0.00013600921040956873
48,-0.049932906712263414,-0.00041193000112169266,-8.255772147962232e-05,0.0751702357876599,0.09899500605622663,-0.1292894070601181,0.10559201843092264,-0.06684527031532068,-0.10127902722304084,-0.045647108419611504
49,-0.09658964975532007,-0.4059172447756763,-0.02293861023532226,-0.24727366052853755,-0.0004906611143796195,0.00023882975440000882,9.375741478512589e-05,-0.00040923079952088966,8.073325745395082e-05,-0.0004499432210642712
54,-0.04989508337208161,-0.00043682416341426545,0.00011230669150386642,0.07479608054106515,0.08447377620362365,-0.07332437763252454,0.13924600190259043,-0.040394005101225594,-0.06790849418161979,-0.20245560560574768
40,-0.09658964975532008,-0.4059172447756764,-0.022938610235322288,-0.2472736605285375,-0.0004906611143796625,0.00023882975440008483,9.37574147852351e-05,-0.0004092307995209247,8.073325745420669e-05,-0.000449943221064149
60,-0.04994811382754233,-0.00039752496322463185,-0.00012513724222670383,0.07521154506587345,0.11602388754878522,-0.12470687267341733,0.156198244262827,-0.07668379724858816,-0.07766886017780962,-0.20282422301360362
62,-0.05003284908835803,-0.0028933766360252503,-8.463587731530812e-06,0.07167197085601291,0.030660497141806742,-0.02118631853323473,-0.015234585753653848,0.04857170729178512,-0.012618960422011665,0.061996557103148026
67,-0.049863481310369016,-0.0007614096436292633,-3.319463849067562e-05,0.07427459135187199,0.04895894564743297,-0.04902187553542906,-0.03761797748559078,0.07292231428833554,-0.02241239949343613,0.22240746989224222
53,-0.09722757572048371,0.18549722014049877,0.36462375463984004,-0.2428198670908802,-0.00016792911417961274,0.0002218077498070223,-7.705210784310506e-05,-0.00019069545748909457,0.000122488093093033,-0.00013803461646731956
41,-0.04992773495977678,-0.00041866795655167533,-0.00010407526469810211,0.07517169743095577,0.11074338713576562,-0.10875617571928528,0.16300658230754178,-0.06802369416605472,-0.06862696521852722,-0.23745342544548334
43,-0.04992067653654362,-0.00039877105827051647,-0.00010426497715995617,0.07505317379558984,0.03762153819694765,-0.012444975899866073,0.03558356230299945,-0.01242110932095219,-0.050393890742978,0.12036519828700971
55,-0.09725567621386487,0.225419607099575,-0.3413550484399397,-0.24285645273691558,-0.00033600518225723513,0.00031529529531274837,-7.408371392412324e-05,-0.00010559249686209543,0.00010023098022453816,-0.00020372520875564458
50,-0.09725567621386483,0.22541960709957523,-0.3413550484399398,-0.24285645273691575,-0.00033600518225792225,0.00031529529531290173,-7.408371392393977e-05,-0.00010559249686168839,0.00010023098022480986,-0.00020372520875501775
63,-0.09722757572048372,0.18549722014049883,0.36462375463984004,-0.24281986709088013,-0.0001679291141795905,0.000221807749807018,-7.705210784307747e-05,-0.00019069545748906522,0.00012248809309301688,-0.00013803461646730747
59,-0.04994570124306118,-0.00041176151622678096,-0.00014810601911729115,0.0748714907056022,0.08056005421097315,-0.10373118589325696,0.025991720605116706,-0.0380351452168241,-0.09731635323170405,0.22381450637359024
