0-HSD-single-SIR,h:0.1294390910266727,c:0.3841831918772051,v:0.19363771705215388,s:0.1712763073867275,a:0.3802083333333333,M:0.380798090757821,m:0.3802083333333333
0-HSD-multi-SIR,h:0.17151482920970687,c:0.5534071409240195,v:0.26186964989212824,s:0.15762307241322585,a:0.3333333333333333,M:0.34087967616425385,m:0.3333333333333333
0-graphwave-SIR,h:0.05555499379428609,c:0.3118260402870691,v:0.09430804601202523,s:0.3002366666857083,a:0.359375,M:0.3478674964954718,m:0.359375
0-struc2vec-SIR,h:0.17546792013966497,c:0.2661814316725617,v:0.2115085282191949,s:0.5561910271644592,a:0.21875,M:0.18800333937531216,m:0.21875
0-node2vec-SIR,h:0.08388445091660071,c:0.34063175791191175,v:0.1346177478407653,s:0.07056567817926407,a:0.22395833333333334,M:0.21547225089543534,m:0.22395833333333334
0-rolx-SIR,h:0.14732645911784492,c:0.3711498158301333,v:0.21092648134759953,s:0.05366833135485649,a:0.23958333333333334,M:0.2188728365346527,m:0.23958333333333334
1-HSD-single-SIR,h:0.11468061949804795,c:0.2345297589586247,v:0.1540390532891335,s:-0.0010866591147160136,a:0.578125,M:0.5764315254637835,m:0.578125
1-HSD-multi-SIR,h:0.12348514502524029,c:0.16089265161364869,v:0.13972857693412424,s:0.26692596603128105,a:0.5520833333333334,M:0.5594642876971068,m:0.5520833333333334
1-graphwave-SIR,h:0.06364118071082822,c:0.21643764448786376,v:0.09836050430236139,s:0.28544188091974276,a:0.5729166666666666,M:0.5721725485602868,m:0.5729166666666666
1-struc2vec-SIR,h:0.14571251365651855,c:0.15346879301589286,v:0.1494901125133686,s:0.5399115681648254,a:0.3177083333333333,M:0.317338160671494,m:0.3177083333333333
1-node2vec-SIR,h:0.05868883063383244,c:0.1323749957556076,v:0.08132291551850264,s:0.0908479169011116,a:0.19270833333333334,M:0.19556878530595675,m:0.19270833333333331
1-rolx-SIR,h:0.03715530321606619,c:0.23580213879069778,v:0.06419535515392316,s:-0.19312717020511627,a:0.390625,M:0.3834640852032157,m:0.390625
2-HSD-single-SIR,h:0.20985162574930527,c:0.40851815372236827,v:0.27727163115891124,s:0.39592736061084866,a:0.515625,M:0.5149217560218513,m:0.515625
2-HSD-multi-SIR,h:0.23467881211762517,c:0.4083109084737223,v:0.2980511691140431,s:0.4518939460972851,a:0.53125,M:0.5352901349839023,m:0.53125
2-graphwave-SIR,h:0.0465758703879564,c:0.20229444043904896,v:0.07571847044979789,s:0.35700620029728575,a:0.5052083333333334,M:0.5039925722111581,m:0.5052083333333334
2-struc2vec-SIR,h:0.24779801986582625,c:0.25961923995266284,v:0.2535709313567836,s:0.5521348118782043,a:0.4322916666666667,M:0.42166358572849927,m:0.43229166666666663
2-node2vec-SIR,h:0.06856558101419075,c:0.18898773279302805,v:0.10062424367180016,s:0.0019837666768580675,a:0.21875,M:0.21735637745313588,m:0.21875
2-rolx-SIR,h:0.030321458087874256,c:0.08371946365298696,v:0.044519040525850206,s:-0.06777023524045944,a:0.359375,M:0.3545394397449403,m:0.359375
3-HSD-single-SIR,h:0.1939518184964988,c:0.3150705423383969,v:0.24010145464329055,s:0.15768558957680492,a:0.5208333333333334,M:0.5266392960063845,m:0.5208333333333334
3-HSD-multi-SIR,h:0.23481391433225834,c:0.36963273981347444,v:0.28718799220959135,s:0.24699216762435436,a:0.5677083333333334,M:0.5715549708507456,m:0.5677083333333334
3-graphwave-SIR,h:0.059169298432802275,c:0.22884434041204152,v:0.09402720736980329,s:0.2532969716238775,a:0.5520833333333334,M:0.5555857303917006,m:0.5520833333333334
3-struc2vec-SIR,h:0.26221056598817966,c:0.27267775050885873,v:0.2673417425213376,s:0.5655761957168579,a:0.4479166666666667,M:0.43891435362023595,m:0.4479166666666667
3-node2vec-SIR,h:0.053985774536041184,c:0.12984294758658768,v:0.076263078071429,s:0.0779469758272171,a:0.22395833333333334,M:0.2211885516750547,m:0.22395833333333334
